ProteinIds	Gene Name	Protein Description	Tissue Specificity	Gene ontology (biological process)	Gene ontology (cellular component)	Gene ontology (molecular function)	Subcellular Location[CC]	Protein	log2FC	Label2	Imputed.FDR
P15814	IGLL1	Immunoglobulin lambda-like polypeptide 1 (CD179 antigen-like family member B) (Ig lambda-5) (Immunoglobulin omega polypeptide) (Immunoglobulin-related protein 14.1) (CD antigen CD179b)	TISSUE SPECIFICITY: Expressed only in pre-B-cells and a special B-cell line (which is surface Ig negative). {ECO:0000269|PubMed:2128466}.	immune response [GO:0006955]; immunoglobulin mediated immune response [GO:0016064]	endoplasmic reticulum [GO:0005783]; extracellular region [GO:0005576]; IgG immunoglobulin complex [GO:0071735]; membrane [GO:0016020]	antigen binding [GO:0003823]	SUBCELLULAR LOCATION: Endoplasmic reticulum {ECO:0000250|UniProtKB:P20764}. Secreted {ECO:0000269|PubMed:9419212}. Note=In pre-B cells, localizes predominantly to the endoplasmic reticulum. {ECO:0000250|UniProtKB:P20764}.	P15814	-1.1284103506893202	vital-individual	0.9183332223358772
P15880	RPS2	Small ribosomal subunit protein uS5 (40S ribosomal protein S2) (40S ribosomal protein S4) (Protein LLRep3)		cytoplasmic translation [GO:0002181]; positive regulation of ubiquitin-protein transferase activity [GO:0051443]; translation [GO:0006412]	cytoplasm [GO:0005737]; cytosol [GO:0005829]; cytosolic ribosome [GO:0022626]; cytosolic small ribosomal subunit [GO:0022627]; extracellular exosome [GO:0070062]; focal adhesion [GO:0005925]; membrane [GO:0016020]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]	cadherin binding [GO:0045296]; enzyme binding [GO:0019899]; fibroblast growth factor binding [GO:0017134]; mRNA binding [GO:0003729]; RNA binding [GO:0003723]; structural constituent of ribosome [GO:0003735]	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000269|PubMed:23636399, ECO:0000269|PubMed:30530495}. Nucleus, nucleolus {ECO:0000269|PubMed:30530495}. Note=Probably localized to nucleolus and cytoplasm in complex with ZNF277. {ECO:0000269|PubMed:30530495}.	P15880	0.302184138531012	vital-individual	0.9183332223358772
P16152	CBR1	Carbonyl reductase [NADPH] 1 (EC 1.1.1.184) (15-hydroxyprostaglandin dehydrogenase [NADP(+)]) (EC 1.1.1.196, EC 1.1.1.197) (20-beta-hydroxysteroid dehydrogenase) (Alcohol dehydrogenase [NAD(P)+] CBR1) (EC 1.1.1.71) (NADPH-dependent carbonyl reductase 1) (Prostaglandin 9-ketoreductase) (PG-9-KR) (Prostaglandin-E(2) 9-reductase) (EC 1.1.1.189) (Short chain dehydrogenase/reductase family 21C member 1)	TISSUE SPECIFICITY: Expressed in kidney (at protein level). {ECO:0000269|PubMed:1597188}.	cyclooxygenase pathway [GO:0019371]; epithelial cell differentiation [GO:0030855]; glucocorticoid metabolic process [GO:0008211]; positive regulation of reactive oxygen species metabolic process [GO:2000379]; vitamin K metabolic process [GO:0042373]; xenobiotic metabolic process [GO:0006805]	cytosol [GO:0005829]; extracellular exosome [GO:0070062]; extracellular vesicle [GO:1903561]	15-hydroxyprostaglandin dehydrogenase (NADP+) activity [GO:0047021]; 15-hydroxyprostaglandin-D dehydrogenase (NADP+) activity [GO:0047020]; alcohol dehydrogenase (NADP+) activity [GO:0008106]; carbonyl reductase (NADPH) activity [GO:0004090]; oxidoreductase activity, acting on NAD(P)H, quinone or similar compound as acceptor [GO:0016655]; oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor [GO:0016616]; prostaglandin-E2 9-reductase activity [GO:0050221]	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000305}.	P16152	-0.0870000176595505	vital-individual	0.956944141318929
P17900	GM2A	Ganglioside GM2 activator (Cerebroside sulfate activator protein) (GM2-AP) (Sphingolipid activator protein 3) (SAP-3) [Cleaved into: Ganglioside GM2 activator isoform short]		ganglioside catabolic process [GO:0006689]; glycosphingolipid catabolic process [GO:0046479]; learning or memory [GO:0007611]; lipid storage [GO:0019915]; lipid transport [GO:0006869]; maintenance of location in cell [GO:0051651]; neuromuscular process controlling balance [GO:0050885]; oligosaccharide catabolic process [GO:0009313]	apical plasma membrane [GO:0016324]; azurophil granule lumen [GO:0035578]; basolateral plasma membrane [GO:0016323]; cytoplasmic side of plasma membrane [GO:0009898]; cytosol [GO:0005829]; extracellular exosome [GO:0070062]; extracellular region [GO:0005576]; intracellular membrane-bounded organelle [GO:0043231]; lysosomal lumen [GO:0043202]	beta-N-acetylgalactosaminidase activity [GO:0032428]; lipid transporter activity [GO:0005319]; phospholipase activator activity [GO:0016004]; sphingolipid activator protein activity [GO:0030290]	SUBCELLULAR LOCATION: Lysosome.	P17900	0.23030593238931	vital-individual	0.9183332223358772
P17931	LGALS3	Galectin-3 (Gal-3) (35 kDa lectin) (Carbohydrate-binding protein 35) (CBP 35) (Galactose-specific lectin 3) (Galactoside-binding protein) (GALBP) (IgE-binding protein) (L-31) (Laminin-binding protein) (Lectin L-29) (Mac-2 antigen)	TISSUE SPECIFICITY: A major expression is found in the colonic epithelium. It is also abundant in the activated macrophages. Expressed in fetal membranes. {ECO:0000269|PubMed:19497882}.	eosinophil chemotaxis [GO:0048245]; epithelial cell differentiation [GO:0030855]; innate immune response [GO:0045087]; macrophage chemotaxis [GO:0048246]; monocyte chemotaxis [GO:0002548]; mononuclear cell migration [GO:0071674]; mRNA processing [GO:0006397]; negative regulation of endocytosis [GO:0045806]; negative regulation of extrinsic apoptotic signaling pathway [GO:2001237]; negative regulation of immunological synapse formation [GO:2000521]; negative regulation of protein tyrosine phosphatase activity [GO:1903614]; negative regulation of T cell activation via T cell receptor contact with antigen bound to MHC molecule on antigen presenting cell [GO:2001189]; negative regulation of T cell receptor signaling pathway [GO:0050860]; neutrophil chemotaxis [GO:0030593]; positive chemotaxis [GO:0050918]; positive regulation of calcium ion import [GO:0090280]; positive regulation of mononuclear cell migration [GO:0071677]; positive regulation of protein localization to plasma membrane [GO:1903078]; positive regulation of protein-containing complex assembly [GO:0031334]; regulation of extrinsic apoptotic signaling pathway via death domain receptors [GO:1902041]; regulation of T cell apoptotic process [GO:0070232]; regulation of T cell proliferation [GO:0042129]; RNA splicing [GO:0008380]	cell surface [GO:0009986]; collagen-containing extracellular matrix [GO:0062023]; cytoplasm [GO:0005737]; cytosol [GO:0005829]; extracellular exosome [GO:0070062]; extracellular region [GO:0005576]; extracellular space [GO:0005615]; ficolin-1-rich granule membrane [GO:0101003]; immunological synapse [GO:0001772]; membrane [GO:0016020]; mitochondrial inner membrane [GO:0005743]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; plasma membrane [GO:0005886]; secretory granule membrane [GO:0030667]; spliceosomal complex [GO:0005681]	carbohydrate binding [GO:0030246]; chemoattractant activity [GO:0042056]; IgE binding [GO:0019863]; laminin binding [GO:0043236]; molecular condensate scaffold activity [GO:0140693]; protein phosphatase binding [GO:0019903]; protein phosphatase inhibitor activity [GO:0004864]; RNA binding [GO:0003723]	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000269|PubMed:32272059}. Nucleus. Secreted {ECO:0000269|PubMed:32272059}. Note=Secreted by a non-classical secretory pathway and associates with the cell surface. Can be secreted; the secretion is dependent on protein unfolding and facilitated by the cargo receptor TMED10; it results in protein translocation from the cytoplasm into the ERGIC (endoplasmic reticulum-Golgi intermediate compartment) followed by vesicle entry and secretion (PubMed:32272059). {ECO:0000269|PubMed:32272059}.	P17931	0.148945578268013	vital-individual	0.956944141318929
P17987	TCP1	T-complex protein 1 subunit alpha (TCP-1-alpha) (CCT-alpha)		binding of sperm to zona pellucida [GO:0007339]; chaperone-mediated protein folding [GO:0061077]; positive regulation of establishment of protein localization to telomere [GO:1904851]; positive regulation of protein localization to Cajal body [GO:1904871]; positive regulation of telomerase activity [GO:0051973]; positive regulation of telomerase RNA localization to Cajal body [GO:1904874]; positive regulation of telomere maintenance via telomerase [GO:0032212]; protein folding [GO:0006457]; protein stabilization [GO:0050821]; scaRNA localization to Cajal body [GO:0090666]; tubulin complex assembly [GO:0007021]	acrosomal vesicle [GO:0001669]; cell body [GO:0044297]; centrosome [GO:0005813]; chaperonin-containing T-complex [GO:0005832]; cytosol [GO:0005829]; extracellular exosome [GO:0070062]; Golgi apparatus [GO:0005794]; heterochromatin [GO:0000792]; microtubule [GO:0005874]; pericentriolar material [GO:0000242]; zona pellucida receptor complex [GO:0002199]	ATP binding [GO:0005524]; ATP hydrolysis activity [GO:0016887]; ATP-dependent protein folding chaperone [GO:0140662]; protein folding chaperone [GO:0044183]; RNA binding [GO:0003723]; ubiquitin protein ligase binding [GO:0031625]; unfolded protein binding [GO:0051082]	SUBCELLULAR LOCATION: Cytoplasm, cytosol {ECO:0000269|PubMed:1630492}. Cytoplasm, cytoskeleton, microtubule organizing center, centrosome {ECO:0000269|PubMed:14654843, ECO:0000269|PubMed:20080638}.	P17987	0.42802198122893	vital-individual	0.9183332223358772
P18065	IGFBP2	Insulin-like growth factor-binding protein 2 (IBP-2) (IGF-binding protein 2) (IGFBP-2)		cellular response to hormone stimulus [GO:0032870]; female pregnancy [GO:0007565]; negative regulation of canonical Wnt signaling pathway [GO:0090090]; positive regulation of activated T cell proliferation [GO:0042104]; regulation of insulin-like growth factor receptor signaling pathway [GO:0043567]; response to estradiol [GO:0032355]; response to estrogen [GO:0043627]; response to glucocorticoid [GO:0051384]; response to mechanical stimulus [GO:0009612]; response to nutrient [GO:0007584]; response to retinoic acid [GO:0032526]; response to xenobiotic stimulus [GO:0009410]	apical plasma membrane [GO:0016324]; extracellular exosome [GO:0070062]; extracellular region [GO:0005576]; extracellular space [GO:0005615]	insulin-like growth factor I binding [GO:0031994]; insulin-like growth factor II binding [GO:0031995]; signaling receptor binding [GO:0005102]	SUBCELLULAR LOCATION: Secreted.	P18065	-0.419576905381664	vital-individual	0.9183332223358772
P18077	RPL35A	Large ribosomal subunit protein eL33 (60S ribosomal protein L35a) (Cell growth-inhibiting gene 33 protein)		cytoplasmic translation [GO:0002181]; ribosomal large subunit biogenesis [GO:0042273]; rRNA processing [GO:0006364]; translation [GO:0006412]	cytoplasm [GO:0005737]; cytosol [GO:0005829]; cytosolic large ribosomal subunit [GO:0022625]; cytosolic ribosome [GO:0022626]; extracellular exosome [GO:0070062]; membrane [GO:0016020]; synapse [GO:0045202]	RNA binding [GO:0003723]; structural constituent of ribosome [GO:0003735]; tRNA binding [GO:0000049]	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000269|PubMed:23636399}.	P18077	-0.0925471016585987	vital-individual	0.990948461392486
P18085	ARF4	ADP-ribosylation factor 4		apical protein localization [GO:0045176]; cell migration [GO:0016477]; cilium assembly [GO:0060271]; dendritic spine development [GO:0060996]; endoplasmic reticulum to Golgi vesicle-mediated transport [GO:0006888]; establishment or maintenance of epithelial cell apical/basal polarity [GO:0045197]; intracellular protein transport [GO:0006886]; learning [GO:0007612]; negative regulation of apoptotic process [GO:0043066]; positive regulation of transcription by RNA polymerase II [GO:0045944]; protein localization to cilium [GO:0061512]; regulation of cilium assembly [GO:1902017]; regulation of postsynapse organization [GO:0099175]; regulation of reactive oxygen species metabolic process [GO:2000377]; retrograde vesicle-mediated transport, Golgi to endoplasmic reticulum [GO:0006890]; vesicle-mediated transport [GO:0016192]	cytosol [GO:0005829]; dendritic spine [GO:0043197]; extracellular exosome [GO:0070062]; glutamatergic synapse [GO:0098978]; Golgi membrane [GO:0000139]; membrane [GO:0016020]; plasma membrane [GO:0005886]; ruffle membrane [GO:0032587]	epidermal growth factor receptor binding [GO:0005154]; GTP binding [GO:0005525]; GTPase activity [GO:0003924]; guanyl-nucleotide exchange factor activity [GO:0005085]; NAD+-protein-arginine ADP-ribosyltransferase activity [GO:0106274]; phospholipase D activator activity [GO:1990583]	SUBCELLULAR LOCATION: Golgi apparatus {ECO:0000269|PubMed:25673879}. Membrane {ECO:0000305}; Lipid-anchor {ECO:0000305}.	P18085	0.3017960396017439	vital-individual	0.942930609056024
P18124	RPL7	Large ribosomal subunit protein uL30 (60S ribosomal protein L7)		cytoplasmic translation [GO:0002181]; maturation of LSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA) [GO:0000463]; ribosomal large subunit biogenesis [GO:0042273]; rRNA processing [GO:0006364]; translation [GO:0006412]	cytoplasm [GO:0005737]; cytosol [GO:0005829]; cytosolic large ribosomal subunit [GO:0022625]; cytosolic ribosome [GO:0022626]; focal adhesion [GO:0005925]; membrane [GO:0016020]; nucleolus [GO:0005730]; nucleus [GO:0005634]; postsynaptic density [GO:0014069]; ribonucleoprotein complex [GO:1990904]	DNA binding [GO:0003677]; identical protein binding [GO:0042802]; mRNA binding [GO:0003729]; RNA binding [GO:0003723]; structural constituent of ribosome [GO:0003735]	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000269|PubMed:23636399}.	P18124	0.794569602451598	vital-individual	0.9183332223358772
P18428	LBP	Lipopolysaccharide-binding protein (LBP)	TISSUE SPECIFICITY: Detected in blood serum (at protein level). {ECO:0000269|PubMed:2402637, ECO:0000269|PubMed:24120359}.	acute-phase response [GO:0006953]; cell surface pattern recognition receptor signaling pathway [GO:0002752]; cellular defense response [GO:0006968]; cellular response to lipopolysaccharide [GO:0071222]; cellular response to lipoteichoic acid [GO:0071223]; defense response to Gram-negative bacterium [GO:0050829]; defense response to Gram-positive bacterium [GO:0050830]; detection of molecule of bacterial origin [GO:0032490]; innate immune response [GO:0045087]; leukocyte chemotaxis involved in inflammatory response [GO:0002232]; lipopolysaccharide transport [GO:0015920]; lipopolysaccharide-mediated signaling pathway [GO:0031663]; macrophage activation involved in immune response [GO:0002281]; negative regulation of tumor necrosis factor production [GO:0032720]; neutrophil chemotaxis [GO:0030593]; opsonization [GO:0008228]; positive regulation of chemokine production [GO:0032722]; positive regulation of interleukin-6 production [GO:0032755]; positive regulation of interleukin-8 production [GO:0032757]; positive regulation of macrophage activation [GO:0043032]; positive regulation of neutrophil chemotaxis [GO:0090023]; positive regulation of respiratory burst involved in inflammatory response [GO:0060265]; positive regulation of toll-like receptor 4 signaling pathway [GO:0034145]; positive regulation of tumor necrosis factor production [GO:0032760]; response to lipopolysaccharide [GO:0032496]	cell surface [GO:0009986]; extracellular exosome [GO:0070062]; extracellular region [GO:0005576]; extracellular space [GO:0005615]; membrane [GO:0016020]	coreceptor activity [GO:0015026]; lipopeptide binding [GO:0071723]; lipopolysaccharide binding [GO:0001530]; lipoteichoic acid binding [GO:0070891]; signaling receptor binding [GO:0005102]	SUBCELLULAR LOCATION: Secreted {ECO:0000269|PubMed:2402637, ECO:0000269|PubMed:24120359, ECO:0000269|PubMed:7517398}. Cytoplasmic granule membrane {ECO:0000250|UniProtKB:P17213}. Note=Membrane-associated in polymorphonuclear Leukocytes (PMN) granules. {ECO:0000250|UniProtKB:P17213}.	P18428	0.672980368409626	vital-individual	0.9183332223358772
P18669	PGAM1	Phosphoglycerate mutase 1 (EC 5.4.2.11) (EC 5.4.2.4) (BPG-dependent PGAM 1) (Phosphoglycerate mutase isozyme B) (PGAM-B)	TISSUE SPECIFICITY: Expressed in the liver and brain. Not found in the muscle. {ECO:0000269|PubMed:2846553}.	canonical glycolysis [GO:0061621]; gluconeogenesis [GO:0006094]; glycolytic process [GO:0006096]; regulation of glycolytic process [GO:0006110]; regulation of pentose-phosphate shunt [GO:0043456]; respiratory burst [GO:0045730]	cytoplasm [GO:0005737]; cytosol [GO:0005829]; extracellular exosome [GO:0070062]; extracellular region [GO:0005576]; ficolin-1-rich granule lumen [GO:1904813]; membrane [GO:0016020]; secretory granule lumen [GO:0034774]	2,3-bisphosphoglycerate-dependent phosphoglycerate mutase activity [GO:0046538]; bisphosphoglycerate mutase activity [GO:0004082]; hydrolase activity [GO:0016787]; phosphoglycerate mutase activity [GO:0004619]; protein kinase binding [GO:0019901]		P18669	0.356928180324905	vital-individual	0.9183332223358772
P19652	ORM2	Alpha-1-acid glycoprotein 2 (AGP 2) (Orosomucoid-2) (OMD 2)	TISSUE SPECIFICITY: Expressed by the liver and secreted in plasma.	acute-phase response [GO:0006953]; positive regulation of interleukin-1 beta production [GO:0032731]; positive regulation of interleukin-1 production [GO:0032732]; positive regulation of tumor necrosis factor production [GO:0032760]; regulation of immune system process [GO:0002682]	azurophil granule lumen [GO:0035578]; blood microparticle [GO:0072562]; collagen-containing extracellular matrix [GO:0062023]; extracellular exosome [GO:0070062]; extracellular region [GO:0005576]; extracellular space [GO:0005615]; platelet alpha granule lumen [GO:0031093]; specific granule lumen [GO:0035580]		SUBCELLULAR LOCATION: Secreted.	P19652	-0.10951499698141	vital-individual	0.984542803724734
P19823	ITIH2	Inter-alpha-trypsin inhibitor heavy chain H2 (ITI heavy chain H2) (ITI-HC2) (Inter-alpha-inhibitor heavy chain 2) (Inter-alpha-trypsin inhibitor complex component II) (Serum-derived hyaluronan-associated protein) (SHAP)	TISSUE SPECIFICITY: Plasma.	hyaluronan metabolic process [GO:0030212]	blood microparticle [GO:0072562]; collagen-containing extracellular matrix [GO:0062023]; endoplasmic reticulum lumen [GO:0005788]; extracellular exosome [GO:0070062]; extracellular region [GO:0005576]	endopeptidase inhibitor activity [GO:0004866]; hyaluronic acid binding [GO:0005540]; serine-type endopeptidase inhibitor activity [GO:0004867]	SUBCELLULAR LOCATION: Secreted.	P19823	-0.570295215170426	vital-individual	0.9183332223358772
P19827	ITIH1	Inter-alpha-trypsin inhibitor heavy chain H1 (ITI heavy chain H1) (ITI-HC1) (Inter-alpha-inhibitor heavy chain 1) (Inter-alpha-trypsin inhibitor complex component III) (Serum-derived hyaluronan-associated protein) (SHAP)		hyaluronan metabolic process [GO:0030212]	blood microparticle [GO:0072562]; collagen-containing extracellular matrix [GO:0062023]; extracellular exosome [GO:0070062]; extracellular region [GO:0005576]	calcium ion binding [GO:0005509]; carbohydrate binding [GO:0030246]; hyaluronic acid binding [GO:0005540]; serine-type endopeptidase inhibitor activity [GO:0004867]	SUBCELLULAR LOCATION: Secreted.	P19827	0.162862797622403	vital-individual	0.990948461392486
P19835	CEL	Bile salt-activated lipase (BAL) (EC 3.1.1.13) (EC 3.1.1.3) (EC 3.1.1.6) (Bile salt-stimulated lipase) (BSSL) (Bucelipase) (Carboxyl ester lipase) (Cholesterol esterase) (Pancreatic lysophospholipase) (Sterol esterase)	TISSUE SPECIFICITY: Mammary gland and pancreas. Detected in pancreatic and duodenal juice (at protein level) (PubMed:21784842). Expressed by eosinophils. {ECO:0000269|PubMed:11834744, ECO:0000269|PubMed:21784842}.	ceramide catabolic process [GO:0046514]; intestinal cholesterol absorption [GO:0030299]; lipid metabolic process [GO:0006629]; pancreatic juice secretion [GO:0030157]	cytoplasm [GO:0005737]; extracellular exosome [GO:0070062]; extracellular region [GO:0005576]; extracellular space [GO:0005615]	acetylesterase activity [GO:0008126]; catalytic activity [GO:0003824]; heparin binding [GO:0008201]; hydrolase activity [GO:0016787]; retinyl-palmitate esterase activity [GO:0050253]; sterol esterase activity [GO:0004771]; triglyceride lipase activity [GO:0004806]	SUBCELLULAR LOCATION: Secreted {ECO:0000269|PubMed:21784842}.	P19835	-0.689533043714025	vital-individual	0.9183332223358772
P20061	TCN1	Transcobalamin-1 (TC-1) (Haptocorrin) (HC) (Protein R) (Transcobalamin I) (TC I) (TCI)	TISSUE SPECIFICITY: Produced by the salivary glands of the oral cavity, in response to ingestion of food. Major constituent of secondary granules in neutrophils. {ECO:0000269|PubMed:2777761}.	cobalamin transport [GO:0015889]; cobalt ion transport [GO:0006824]	extracellular region [GO:0005576]; extracellular space [GO:0005615]; specific granule lumen [GO:0035580]; tertiary granule lumen [GO:1904724]	cargo receptor ligand activity [GO:0140355]; cobalamin binding [GO:0031419]; molecular sequestering activity [GO:0140313]	SUBCELLULAR LOCATION: Secreted.	P20061	-0.4348377604702629	vital-individual	0.9183332223358772
P20618	PSMB1	Proteasome subunit beta type-1 (Macropain subunit C5) (Multicatalytic endopeptidase complex subunit C5) (Proteasome component C5) (Proteasome gamma chain)		proteasome-mediated ubiquitin-dependent protein catabolic process [GO:0043161]	cytoplasm [GO:0005737]; cytosol [GO:0005829]; extracellular exosome [GO:0070062]; extracellular region [GO:0005576]; ficolin-1-rich granule lumen [GO:1904813]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; proteasome complex [GO:0000502]; proteasome core complex [GO:0005839]; proteasome core complex, beta-subunit complex [GO:0019774]; secretory granule lumen [GO:0034774]		SUBCELLULAR LOCATION: Cytoplasm {ECO:0000269|PubMed:12181345, ECO:0000269|PubMed:34711951}. Nucleus {ECO:0000269|PubMed:12181345, ECO:0000269|PubMed:34711951}. Note=Translocated from the cytoplasm into the nucleus following interaction with AKIRIN2, which bridges the proteasome with the nuclear import receptor IPO9. {ECO:0000269|PubMed:34711951}.	P20618	0.42109997625543	vital-individual	0.9183332223358772
P21399	ACO1	Cytoplasmic aconitate hydratase (Aconitase) (EC 4.2.1.3) (Citrate hydro-lyase) (Ferritin repressor protein) (Iron regulatory protein 1) (IRP1) (Iron-responsive element-binding protein 1) (IRE-BP 1)		citrate metabolic process [GO:0006101]; intestinal absorption [GO:0050892]; intracellular iron ion homeostasis [GO:0006879]; post-embryonic development [GO:0009791]; regulation of translation [GO:0006417]; response to iron(II) ion [GO:0010040]; tricarboxylic acid cycle [GO:0006099]	cytoplasm [GO:0005737]; cytosol [GO:0005829]; endoplasmic reticulum [GO:0005783]; extracellular exosome [GO:0070062]; Golgi apparatus [GO:0005794]; mitochondrion [GO:0005739]	3 iron, 4 sulfur cluster binding [GO:0051538]; 4 iron, 4 sulfur cluster binding [GO:0051539]; aconitate hydratase activity [GO:0003994]; iron-responsive element binding [GO:0030350]; metal ion binding [GO:0046872]; RNA binding [GO:0003723]	SUBCELLULAR LOCATION: Cytoplasm, cytosol {ECO:0000269|PubMed:1281544}.	P21399	0.0807709838052116	vital-individual	0.990948461392486
P21926	CD9	CD9 antigen (5H9 antigen) (Cell growth-inhibiting gene 2 protein) (Leukocyte antigen MIC3) (Motility-related protein) (MRP-1) (Tetraspanin-29) (Tspan-29) (p24) (CD antigen CD9)	TISSUE SPECIFICITY: Detected in platelets (at protein level) (PubMed:19640571). Expressed by a variety of hematopoietic and epithelial cells (PubMed:19640571). {ECO:0000269|PubMed:19640571}.	cell adhesion [GO:0007155]; cell population proliferation [GO:0008283]; cellular response to low-density lipoprotein particle stimulus [GO:0071404]; fusion of sperm to egg plasma membrane involved in single fertilization [GO:0007342]; glial cell migration [GO:0008347]; myoblast fusion involved in skeletal muscle regeneration [GO:0014905]; negative regulation of cell population proliferation [GO:0008285]; negative regulation of platelet aggregation [GO:0090331]; paranodal junction assembly [GO:0030913]; platelet activation [GO:0030168]; receptor internalization [GO:0031623]; regulation of macrophage migration [GO:1905521]; sperm-egg recognition [GO:0035036]	clathrin-coated endocytic vesicle membrane [GO:0030669]; endocytic vesicle membrane [GO:0030666]; external side of plasma membrane [GO:0009897]; extracellular exosome [GO:0070062]; extracellular space [GO:0005615]; extracellular vesicle [GO:1903561]; focal adhesion [GO:0005925]; membrane [GO:0016020]; plasma membrane [GO:0005886]; platelet alpha granule membrane [GO:0031092]; protein-containing complex [GO:0032991]	integrin binding [GO:0005178]	SUBCELLULAR LOCATION: Cell membrane {ECO:0000269|PubMed:19640571}; Multi-pass membrane protein {ECO:0000269|PubMed:19640571}. Membrane {ECO:0000269|PubMed:19640571}; Multi-pass membrane protein {ECO:0000269|PubMed:19640571}. Secreted, extracellular exosome {ECO:0000250|UniProtKB:P40240}. Note=Present at the cell surface of oocytes. Accumulates in the adhesion area between the sperm and egg following interaction between IZUMO1 and its receptor IZUMO1R/JUNO. {ECO:0000250|UniProtKB:P40240}.	P21926	0.0241543559195173	vital-individual	0.998671808184512
P22059	OSBP	Oxysterol-binding protein 1	TISSUE SPECIFICITY: Widely expressed. {ECO:0000269|PubMed:11278871}.	bile acid biosynthetic process [GO:0006699]; ceramide transport [GO:0035627]; intracellular cholesterol transport [GO:0032367]; phospholipid transport [GO:0015914]; positive regulation of insulin secretion involved in cellular response to glucose stimulus [GO:0035774]; positive regulation of secretory granule organization [GO:1904411]; positive regulation of tyrosine phosphorylation of STAT protein [GO:0042531]; sphingomyelin biosynthetic process [GO:0006686]; sterol transport [GO:0015918]	cell junction [GO:0030054]; cytoplasm [GO:0005737]; cytosol [GO:0005829]; endoplasmic reticulum membrane [GO:0005789]; Golgi apparatus [GO:0005794]; Golgi membrane [GO:0000139]; intracellular membrane-bounded organelle [GO:0043231]; membrane [GO:0016020]; nucleolus [GO:0005730]; nucleoplasm [GO:0005654]; perinuclear endoplasmic reticulum [GO:0097038]; perinuclear region of cytoplasm [GO:0048471]; plasma membrane [GO:0005886]; trans-Golgi network [GO:0005802]	oxysterol binding [GO:0008142]; phosphatidylinositol-4-phosphate binding [GO:0070273]; protein domain specific binding [GO:0019904]; sterol binding [GO:0032934]; sterol transfer activity [GO:0120015]; sterol transporter activity [GO:0015248]	SUBCELLULAR LOCATION: Cytoplasm, cytosol {ECO:0000269|PubMed:24209621, ECO:0000269|PubMed:29514919}. Cytoplasm, perinuclear region {ECO:0000269|PubMed:24209621}. Golgi apparatus membrane; Peripheral membrane protein {ECO:0000269|PubMed:24209621}. Endoplasmic reticulum membrane; Peripheral membrane protein {ECO:0000269|PubMed:24209621}. Golgi apparatus, trans-Golgi network {ECO:0000269|PubMed:29514919}. Note=Predominantly cytosolic. {ECO:0000269|PubMed:24209621}.	P22059	0.1786552300687449	vital-individual	0.953293125370957
P22079	LPO	Lactoperoxidase (LPO) (EC 1.11.1.7) (Salivary peroxidase) (SPO)	TISSUE SPECIFICITY: Mammary gland, milk and salivary gland. Found in bronchial submucosal glands. {ECO:0000269|PubMed:10715594, ECO:0000269|PubMed:12626341}.	defense response to bacterium [GO:0042742]; detection of chemical stimulus involved in sensory perception of bitter taste [GO:0001580]; hydrogen peroxide catabolic process [GO:0042744]; response to oxidative stress [GO:0006979]	basolateral plasma membrane [GO:0016323]; cytoplasm [GO:0005737]; extracellular exosome [GO:0070062]; extracellular region [GO:0005576]; extracellular space [GO:0005615]	heme binding [GO:0020037]; lactoperoxidase activity [GO:0140825]; metal ion binding [GO:0046872]; thiocyanate peroxidase activity [GO:0036393]	SUBCELLULAR LOCATION: Secreted {ECO:0000269|PubMed:12626341}. Cytoplasm {ECO:0000250|UniProtKB:Q5SW46}.	P22079	-1.7399090668090502	vital-individual	0.9183332223358772
